City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Ayan,RU,56.45,138.1667,41.77,67,96,11.41,overcast clouds
334,Malanje,AO,-9.5402,16.341,54.99,66,3,4.74,clear sky
335,Meulaboh,ID,4.1363,96.1285,86.83,66,71,9.62,broken clouds
336,Lata,PT,40.1629,-8.3327,58.82,78,54,2.15,broken clouds
337,High Prairie,CA,55.4334,-116.4858,52.9,55,100,8.95,overcast clouds
338,Gizo,SB,-8.103,156.8419,81.5,82,99,18.57,moderate rain
339,Hoa Binh,VN,20.8133,105.3383,89.49,60,75,4.43,broken clouds
340,Vanderhoof,CA,54.0166,-124.0198,45.52,97,80,4.94,broken clouds
341,Mareeba,AU,-17.0,145.4333,71.47,89,85,6.69,overcast clouds
342,Pangnirtung,CA,66.1451,-65.7125,14.0,86,76,7.65,broken clouds
343,Narsaq,GL,60.9167,-46.05,34.02,76,81,1.59,broken clouds
344,Diego De Almagro,CL,-26.3667,-70.05,60.96,17,95,0.83,overcast clouds
345,Kilinochchi,LK,9.3961,80.3982,84.7,73,100,20.67,overcast clouds
346,Tocopilla,CL,-22.092,-70.1979,66.11,60,98,0.47,overcast clouds
347,The Valley,AI,18.217,-63.0578,80.46,74,66,16.58,broken clouds
348,Fairbanks,US,64.8378,-147.7164,64.6,34,1,8.05,clear sky
349,Petauke,ZM,-14.2426,31.3253,59.74,57,0,4.72,clear sky
350,Ucluelet,CA,48.9329,-125.5528,54.05,82,99,8.1,overcast clouds
351,Rocha,UY,-34.4833,-54.3333,44.24,74,19,5.35,few clouds
352,Tura,IN,25.5198,90.2201,81.57,79,100,8.01,overcast clouds
353,Richards Bay,ZA,-28.783,32.0377,62.6,64,83,3.42,broken clouds
354,Abu Kamal,SY,34.4506,40.9171,86.85,19,0,15.95,clear sky
355,Ternate,ID,0.8,127.4,84.78,71,49,10.07,scattered clouds
356,Andenes,NO,69.3143,16.1194,44.08,70,20,25.32,few clouds
357,Dourbali,TD,11.8091,15.8632,87.62,10,94,8.12,overcast clouds
358,Hobyo,SO,5.3505,48.5268,82.15,68,79,20.87,broken clouds
359,Newport,GB,51.5877,-2.9984,49.44,89,4,5.75,clear sky
360,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,81,90,15.1,overcast clouds
361,Boende,CD,-0.2167,20.8667,77.09,71,38,2.57,scattered clouds
362,Oyama,JP,36.3,139.8,79.03,20,100,6.69,overcast clouds
363,Katherine,AU,-14.4667,132.2667,89.92,29,0,15.66,clear sky
364,Ilulissat,GL,69.2167,-51.1,32.02,74,75,10.36,broken clouds
365,Najran,SA,17.4924,44.1277,88.45,15,2,1.12,clear sky
366,Ambilobe,MG,-13.2,49.05,79.39,61,5,2.26,clear sky
367,Marystown,CA,47.1666,-55.1483,44.28,96,100,21.88,overcast clouds
368,Mazyr,BY,52.0495,29.2456,56.32,92,99,17.63,light rain
369,Korhogo,CI,9.45,-5.6333,74.19,85,89,4.27,overcast clouds
370,Nikel,RU,69.4128,30.222,35.78,60,27,5.5,scattered clouds
371,Mackay,AU,-21.15,149.2,78.67,73,45,13.8,scattered clouds
372,Adana,TR,36.985,35.2881,82.92,57,0,2.3,clear sky
373,Saanen,CH,46.4896,7.2596,46.85,67,85,4.61,overcast clouds
374,Farafangana,MG,-22.8167,47.8333,69.57,82,8,4.23,clear sky
375,Oranjestad,AW,12.524,-70.027,80.91,81,20,7.0,few clouds
376,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.53,83,14,11.48,few clouds
377,Tonantins,BR,-2.8731,-67.8022,73.83,99,100,0.72,overcast clouds
378,Garoua,CM,9.3,13.4,85.66,48,79,7.23,broken clouds
379,Ndele,CF,8.4109,20.6473,80.56,57,89,6.24,overcast clouds
380,Opuwo,NA,-18.0607,13.84,55.74,46,0,7.07,clear sky
381,Coquimbo,CL,-29.9533,-71.3436,51.53,100,0,2.62,clear sky
382,Okato,NZ,-39.2,173.8833,51.42,76,0,3.33,clear sky
383,Clyde River,CA,70.4692,-68.5914,23.23,93,99,17.27,overcast clouds
384,Blanquefort,FR,44.9125,-0.6366,46.31,98,0,3.6,clear sky
385,San Vicente,AR,-26.6167,-54.1333,46.53,72,4,2.1,clear sky
386,Villa Carlos Paz,AR,-31.4241,-64.4978,46.38,44,0,5.37,clear sky
387,Codrington,AU,-38.2667,141.9667,54.43,65,84,12.64,broken clouds
388,Baon,PH,6.7956,126.0878,87.75,71,100,1.77,overcast clouds
389,Umtata,ZA,-31.5889,28.7844,46.96,81,0,1.74,clear sky
390,Semnan,IR,35.5729,53.3971,78.53,32,32,10.0,scattered clouds
391,Sambava,MG,-14.2667,50.1667,76.19,63,16,5.53,few clouds
392,Horsham,GB,51.064,-0.3272,47.93,77,0,7.4,clear sky
393,Nuevo Laredo,MX,27.4763,-99.5164,82.67,74,1,17.27,clear sky
394,Asau,RO,46.4333,26.4,61.95,95,61,2.28,broken clouds
395,Sur,OM,22.5667,59.5289,100.65,30,0,3.74,clear sky
396,Yumen,CN,40.2833,97.2,81.79,10,1,12.91,clear sky
397,Aykhal,RU,66.0,111.5,51.33,49,48,7.96,scattered clouds
398,Broome,US,42.2506,-75.833,68.45,83,1,4.0,clear sky
399,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,81,0,3.44,light rain
400,Lafia,NG,8.4833,8.5167,78.6,81,99,4.41,overcast clouds
401,Maceio,BR,-9.6658,-35.7353,74.64,94,40,11.95,scattered clouds
402,Kanniyakumari,IN,8.0833,77.5667,78.19,90,100,23.0,moderate rain
403,Vanavara,RU,60.34,102.2797,40.89,48,100,5.73,light rain
404,Salto,UY,-31.3833,-57.9667,46.87,99,0,3.71,clear sky
405,Lahore,PK,31.5497,74.3436,95.11,24,0,9.22,clear sky
406,Pitimbu,BR,-7.4706,-34.8086,75.79,82,9,13.15,clear sky
407,Miles City,US,46.4083,-105.8406,48.51,71,1,12.66,clear sky
408,Kamenka,RU,51.3223,42.7678,65.57,53,62,8.52,broken clouds
409,Kiama,AU,-34.6833,150.8667,66.58,47,1,10.0,clear sky
410,Touros,BR,-5.1989,-35.4608,74.3,91,45,12.1,scattered clouds
411,Savinka,RU,50.0785,47.0994,66.07,52,94,20.22,overcast clouds
412,Waipawa,NZ,-41.4122,175.5153,50.63,86,24,6.51,few clouds
413,Villamontes,BO,-21.25,-63.5,55.96,75,20,4.74,few clouds
